FID	LEN	CLN	NBR	RSA	RSI	CVR	RNR
1	8788	16	1	0.0444925	0.311561	0.344219	0.940715
2	7608	13	1	0.0513933	0.22358	0.261304	0.946767
3	3578	5	1	0.0371716	0.194802	0.231973	0.911683
4	201	0	0	0	0	0	0.965174
5	599	1	0	0	0.21202	0.21202	0.824708
6	1610	1	0	0	0.063354	0.063354	0.957764
7	1	0	0	0	0	0	1
8	1	0	0	0	0	0	1
9	1	0	0	0	0	0	1
10	6028	1	0	0	0.0212342	0.0212342	0.96367
11	793	0	0	0	0	0	0.968474
12	2628	5	0	0	0.223744	0.223744	0.953957
13	3662	5	0	0	0.0977608	0.0977608	0.783179
14	3014	3	1	0.0441274	0.0822827	0.12641	0.953218
15	52	0	0	0	0	0	0.807692
16	39	0	0	0	0	0	0.948718
17	973	4	4	0.229188	0	0.229188	0.963001
18	1730	3	3	0.0641618	0.0751445	0.139306	0.933526
19	942	4	2	0.37155	0	0.37155	0.951168
20	846	1	3	0.06974	0	0.06974	0.960993
21	2019	5	0	0	0.451709	0.451709	0.881625
22	810	6	4	0.52963	0	0.52963	0.958025
23	335	0	0	0	0	0	1
24	1553	0	0	0	0	0	0.951706
25	7	0	0	0	0	0	0.857143
26	6933	3	0	0	0.114813	0.114813	0.955719
27	7818	1	0	0	0.0230238	0.0230238	0.946789
28	7	0	0	0	0	0	0.857143
29	3794	8	0	0	0.622562	0.622562	0.930153
30	5	0	0	0	0	0	1
31	7	0	0	0	0	0	0.857143
32	9695	5	0	0	0.0637442	0.0637442	0.929861
33	9	0	0	0	0	0	0.666667
